[10/25/2019 01:03:23 PM][ DEBUG   ] Starting communication instance.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.WebProxy, Version=4.0.2.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51 loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.Mail, Version=4.0.2.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51 loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.NetworkInformation, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.Ping, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.Security, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.Sockets, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Net.WebSockets.Client, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Runtime.Numerics, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Numerics.Vectors, Version=4.1.6.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Reflection.DispatchProxy, Version=4.0.6.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Reflection.Emit, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Reflection.Emit.Lightweight, Version=4.1.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Reflection.Primitives, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Resources.ResourceManager, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Resources.Writer, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Runtime.CompilerServices.VisualC, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Runtime.InteropServices.RuntimeInformation, Version=4.0.4.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Runtime.Serialization.Primitives, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Runtime.Serialization.Xml, Version=4.1.5.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Runtime.Serialization.Json, Version=4.0.5.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Runtime.Serialization.Formatters, Version=4.0.4.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Security.Cryptography.Algorithms, Version=4.3.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Security.Cryptography.Csp, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Security.Cryptography.Encoding, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Security.Cryptography.Primitives, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Threading.ThreadPool, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Threading.Tasks.Parallel, Version=4.0.4.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Threading.Timer, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Transactions.Local, Version=4.0.2.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51 loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Web.HttpUtility, Version=4.0.2.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51 loaded.
[10/25/2019 01:03:24 PM][ DEBUG   ] AssemblyUtility: System.Xml.ReaderWriter, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Xml.XmlSerializer, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Xml.XPath.XDocument, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Xml.XPath, Version=4.1.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Security.Principal.Windows, Version=4.1.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Reflection.Metadata, Version=1.4.5.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.ComponentModel.Annotations, Version=4.2.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Threading.Tasks.Extensions, Version=4.2.0.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51 loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Runtime.InteropServices.WindowsRuntime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Resources.ResourceManager, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.IO, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Threading.Tasks, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Xml.XDocument, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Collections, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Globalization, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Runtime.Serialization.Primitives, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Reflection, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Dynamic.Runtime, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Linq.Expressions, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Linq, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Diagnostics.Debug, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.ObjectModel, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Text.RegularExpressions, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Xml.ReaderWriter, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Text.Encoding, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Runtime.Extensions, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Threading, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Reflection.Extensions, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Text.Encoding.Extensions, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: Microsoft.CSharp, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Security.AccessControl, Version=4.1.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: Microsoft.Win32.Registry, Version=4.1.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Security.Cryptography.Cng, Version=4.3.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.IO.FileSystem.AccessControl, Version=4.0.5.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Diagnostics.DiagnosticSource, Version=4.0.5.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51 loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Private.DataContractSerialization, Version=4.1.5.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Runtime.CompilerServices.Unsafe, Version=4.0.6.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ DEBUG   ] AssemblyUtility: System.Collections.Immutable, Version=1.2.5.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a loaded.
[10/25/2019 01:03:25 PM][ INFO    ] Scanning for TSL storage extension.
[10/25/2019 01:03:26 PM][ INFO    ] TSL storage extension loaded.
[10/25/2019 01:03:26 PM][ INFO    ] Scanning for MemoryCloud extensions.
[10/25/2019 01:03:26 PM][ INFO    ] Scanning for startup tasks.
[10/25/2019 01:03:26 PM][ VERBOSE ] Allocated thread context 0x000001EAC1418F10.
[10/25/2019 01:03:26 PM][ DEBUG   ] Unmanaged background thread started.
[10/25/2019 01:03:26 PM][ DEBUG   ] Managed background thread started
[10/25/2019 01:03:26 PM][ VERBOSE ] BackgroundThread: task 0x000001EAC13C5CB0 execution time: 0ms. last executed time: 0
[10/25/2019 01:03:26 PM][ VERBOSE ] BackgroundThread: current time = 0, sleep time = 10000
[10/25/2019 01:03:26 PM][ INFO    ] EventLoop: Starting.
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #29576
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #36676
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #36680
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #36688
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #36700
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #17612
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #29496
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #22112
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #32208
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #36068
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #36140
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #32908
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #21016
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #28120
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #37736
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #36076
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #19168
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #30036
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #36868
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #36872
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #36876
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #36880
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #33328
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #33616
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #34728
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #37248
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #24872
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #23384
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #34700
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #33140
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #24236
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #25860
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #26960
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #28468
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #25264
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #29288
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #31420
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #2692
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #25672
[10/25/2019 01:03:26 PM][ DEBUG   ] EventLoop: Starting worker thread #10336
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync message RemoveCell is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync message Shutdown is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync message ReportProxy is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync message GetCellType is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync message SaveStorage is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync message UpdateCell is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync (rsp) message LoadCell is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync (rsp) message LoadCellWithType is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync (rsp) message RemoveCell is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync (rsp) message Shutdown is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync (rsp) message SaveStorage is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync (rsp) message UpdateCell is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync (rsp) message Sampling is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync (rsp) message EchoPing is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync (rsp) message FailureNotification is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync (rsp) message GetCommunicationSchema is registered.
[10/25/2019 01:03:26 PM][ DEBUG   ] Preserved sync (rsp) message GetCommunicationModuleOffsets is registered.
